Date,Low,Base,High
2025-01-01,3648.4440108528233,5454.6218055892805,13202.846671480427
2025-07-01,3648.4440108528233,6272.036347147148,19406.137066236883
2026-01-01,3648.4440108528233,7269.814638194428,25886.224648534433
2026-07-01,3648.4440108528233,8445.947054781376,32627.184100733706
2027-01-01,3648.4440108528233,9792.395101109025,39634.32386204785
2027-07-01,3648.4440108528233,11302.627499340706,46887.16852408339
2028-01-01,3648.4440108528233,12977.146655463861,54388.7514806764
2028-07-01,3648.4440108528233,14809.923697629254,62118.59732343344
2029-01-01,3648.4440108528233,16788.398476151,70078.98109773155
2029-07-01,3648.4440108528233,18919.10226886576,78257.76922822646
2030-01-01,3649.2023654591108,21186.96289615046,86657.23676029523
2030-07-01,3672.332180950904,23599.516447816644,95266.76681551161
2031-01-01,3811.8694285079437,26142.695556216102,104074.22581853135
2031-07-01,4043.167583425863,28817.00262733628,113079.61376935444
2032-01-01,4371.155950645536,31616.408789327947,122279.89727414485
2032-07-01,4793.1802890449535,34537.899606266474,131662.94275755822
2033-01-01,5306.586357502106,37581.47507815188,141224.95847729957
2033-07-01,5905.686496469832,40742.613551097245,150964.4277364508
2034-01-01,6588.205642129267,44009.75968739153,160870.7336565857
2034-07-01,7356.039680996131,47390.951982833714,170939.3261469502
2035-01-01,8186.058797578632,50858.055702127414,181145.17970839672
2035-07-01,9071.058623117033,54392.98422972493,191449.61856951538
2036-01-01,9998.905483910721,57987.196663839844,201849.60933647014
2036-07-01,10961.636656593668,61631.1472907109,212318.60981319542
2037-01-01,11948.635176677843,65301.22302892861,222834.62789437978
2037-07-01,12954.213384616072,68994.9118485558,233378.7048685477
2038-01-01,13955.999819522867,72693.62472805736,243925.81523655172
2038-07-01,14952.856949488785,76377.26542793581,254460.0336807524
2039-01-01,15939.476292269812,80045.33154220378,264962.40148967446
2039-07-01,16895.00309619302,83671.19555352717,275416.2349972194
2040-01-01,17816.40394283326,87259.37911579285,285799.54209807585
2040-07-01,18694.19939961192,90790.79080147832,296097.15582306334
2041-01-01,19523.080984284992,94254.88008484739,306295.42589991965
2041-07-01,20293.190086970717,97639.58922220164,316376.91031408746
2042-01-01,20997.32233890937,100934.87009379233,326323.4087025502
2042-07-01,21633.961030888364,104140.72269961945,336131.129323013
2043-01-01,22195.52261684482,107249.6109498715,345797.0387816396
2043-07-01,22677.836146444155,110248.97469486257,355294.5948823645
2044-01-01,23072.93889632034,113145.84761841677,364629.8644128599
2044-07-01,23390.310299051976,115925.65994689844,373807.3974638798
2045-01-01,23617.816680938453,118593.93814616937,382799.8934908996
2045-07-01,23761.904056133222,121150.68221622959,391627.06955385377
2046-01-01,23824.089133848862,123587.85366128013,400275.27538048
2046-07-01,23824.089133848862,125905.9548873084,408754.36950074544
2047-01-01,23824.089133848862,128120.05807393746,417060.56017235515
2047-07-01,23824.089133848862,130220.6175074061,425202.94757681736
2048-01-01,23824.089133848862,132212.65724758862,433178.4983202957
2048-07-01,23824.089133848862,134102.20616633425,440998.5876296758
2049-01-01,23824.089133848862,135884.74260975607,448669.2822926295
2049-07-01,23824.089133848862,137579.35800537665,456183.7571730258
2050-01-01,23824.089133848862,139176.00423344725,463568.5544669303
2050-07-01,23824.089133848862,140681.71497779203,470812.29894745763
