Date,Low,Base,High
2025-01-01,439.0,495.0,654.0
2025-07-01,441.0,570.0,888.0
2026-01-01,456.0,660.0,1138.0
2026-07-01,488.0,767.0,1403.0
2027-01-01,536.0,889.0,1685.0
2027-07-01,599.0,1026.0,1982.0
2028-01-01,675.0,1179.0,2293.0
2028-07-01,767.0,1345.0,2618.0
2029-01-01,872.0,1525.0,2957.0
2029-07-01,991.0,1718.0,3310.0
2030-01-01,1122.0,1924.0,3675.0
2030-07-01,1266.0,2143.0,4053.0
2031-01-01,1422.0,2374.0,4443.0
2031-07-01,1591.0,2617.0,4846.0
2032-01-01,1770.0,2871.0,5259.0
2032-07-01,1961.0,3137.0,5683.0
2033-01-01,2162.0,3413.0,6119.0
2033-07-01,2374.0,3700.0,6565.0
2034-01-01,2597.0,3997.0,7021.0
2034-07-01,2829.0,4304.0,7487.0
2035-01-01,3070.0,4620.0,7963.0
2035-07-01,3322.0,4946.0,8448.0
2036-01-01,3582.0,5281.0,8942.0
2036-07-01,3849.0,5623.0,9442.0
2037-01-01,4122.0,5970.0,9949.0
2037-07-01,4399.0,6322.0,10460.0
2038-01-01,4679.0,6677.0,10974.0
2038-07-01,4961.0,7034.0,11491.0
2039-01-01,5244.0,7392.0,12007.0
2039-07-01,5527.0,7750.0,12525.0
2040-01-01,5809.0,8106.0,13040.0
2040-07-01,6088.0,8459.0,13553.0
2041-01-01,6363.0,8810.0,14062.0
2041-07-01,6634.0,9155.0,14567.0
2042-01-01,6899.0,9495.0,15066.0
2042-07-01,7157.0,9829.0,15558.0
2043-01-01,7409.0,10154.0,16044.0
2043-07-01,7652.0,10473.0,16521.0
2044-01-01,7887.0,10782.0,16990.0
2044-07-01,8113.0,11083.0,17449.0
2045-01-01,8329.0,11373.0,17899.0
2045-07-01,8535.0,11654.0,18339.0
2046-01-01,8731.0,11925.0,18769.0
2046-07-01,8917.0,12185.0,19189.0
2047-01-01,9092.0,12436.0,19598.0
2047-07-01,9257.0,12675.0,19997.0
2048-01-01,9412.0,12904.0,20385.0
2048-07-01,9555.0,13124.0,20763.0
2049-01-01,9690.0,13332.0,21131.0
2049-07-01,9814.0,13531.0,21490.0
2050-01-01,9929.0,13721.0,21838.0
2050-07-01,10034.0,13901.0,22178.0
