Date,Low,Base,High
2025-01-01,9635.023713686509,14397.4018649415,28703.67094001653
2025-07-01,9672.054551684472,16554.95669908167,38928.1026807142
2026-01-01,10015.340428260195,19188.579256305013,49887.140225804185
2026-07-01,10705.915515249253,22292.965160866865,61540.750561423185
2027-01-01,11749.784813408081,25845.570815852432,73874.92213271897
2027-07-01,13112.919985116923,29817.222154666084,86845.61862444194
2028-01-01,14788.31519615995,34205.26698943548,100458.84498867154
2028-07-01,16748.947943133244,38984.50953537351,114630.53189629476
2029-01-01,19006.82822754965,44141.68885311852,129382.69750493646
2029-07-01,21518.920210654782,49637.02212458554,144677.31045142643
2030-01-01,24275.215557854604,55477.139819455435,160430.3014066517
2030-07-01,27275.714269149103,61619.606931770904,176691.7116379414
2031-01-01,30504.403009187816,68059.11908578729,193387.48006964836
2031-07-01,33918.245939216344,74757.21955735581,210463.56213305707
2032-01-01,37523.248059991136,81716.56053434883,227933.96938301975
2032-07-01,41293.38770156763,88878.79388357502,245736.65064804812
2033-01-01,45212.65152859541,96253.20226258761,263817.5613594267
2033-07-01,49273.03287339921,103796.02457149315,282190.71307200775
2034-01-01,53435.49923106226,111484.7172133768,300768.0331552918
2034-07-01,57711.05976963801,119320.60628217475,319559.52986274473
2035-01-01,62060.68198420969,127247.99583256808,338517.1635777306
2035-07-01,66468.35253942682,135270.86414636526,357568.87487529527
2036-01-01,70925.06393415478,143338.81965399208,376738.68356375676
2036-07-01,75406.79616536785,151454.51454332078,395958.5335195475
2037-01-01,79903.54089847198,159570.2094326495,415208.4082357357
2037-07-01,84391.27813044147,167705.79573102068,434422.2532394469
2038-01-01,88864.0028605199,175801.59921130695,453640.10154454445
2038-07-01,93300.69758605976,183853.6415916998,472751.8623629041
2039-01-01,97705.36564089869,191849.98802677364,491805.575311162
2039-07-01,102041.97702049812,199776.05148323084,510723.1760122844
2040-01-01,106305.52755756101,207605.31008234795,529512.6710690443
2040-07-01,110494.01558516857,215319.19850901872,548124.0192141122
2041-01-01,114582.42026683569,222911.08629356234,566583.2419064994
2041-07-01,118578.74827023761,230373.01687236183,584802.2665157065
2042-01-01,122459.98042580803,237697.03368180012,602839.1409118354
2042-07-01,126226.11673354692,244861.9192188987,620637.8188754775
2043-01-01,129880.15969383251,251866.34738972128,638184.2888517805
2043-07-01,133397.08847017967,258715.6225700126,655482.5541421308
2044-01-01,136792.916397939,265380.570693177,672510.5965889035
2044-07-01,140062.63930981324,271877.10488644853,689288.4326990303
2045-01-01,143188.2422035333,278187.9859286569,705782.0344107273
2045-07-01,146174.72924639613,284313.2138198022,722023.4281350854
2046-01-01,149032.10877299582,290267.3755931823,737988.5940637864
2046-07-01,151747.36994836005,296046.4929669886,753671.5272447508
2047-01-01,154323.51527286705,301645.2615654765,769082.2359314443
2047-07-01,156772.55474802968,307055.72482502897,784236.7333294128
2048-01-01,159092.48670692916,312293.7958728801,799115.0029317238
2048-07-01,161279.30781572792,317359.47470902966,813727.052991844
2049-01-01,163337.02140826342,322259.3918031587,828094.9016673976
2049-07-01,165269.63081837338,326984.264497714,842214.5456569984
2050-01-01,167082.1402133548,331568.5712350357,856085.9849606466
2050-07-01,168766.54292553247,335971.203103103,869721.2294825009
