Date,Low,Base,High
2025-01-01,9202.0,10362.0,13434.0
2025-07-01,9430.0,11914.0,18057.0
2026-01-01,10015.0,13810.0,23024.0
2026-07-01,10944.0,16044.0,28336.0
2027-01-01,12184.0,18602.0,33963.0
2027-07-01,13758.0,21471.0,39906.0
2028-01-01,15623.0,24651.0,46165.0
2028-07-01,17782.0,28133.0,52712.0
2029-01-01,20242.0,31891.0,59540.0
2029-07-01,22975.0,35939.0,66662.0
2030-01-01,25980.0,40247.0,74046.0
2030-07-01,29248.0,44830.0,81693.0
2031-01-01,32767.0,49661.0,89600.0
2031-07-01,36534.0,54741.0,97749.0
2032-01-01,40551.0,60059.0,106140.0
2032-07-01,44796.0,65608.0,114766.0
2033-01-01,49238.0,71369.0,123595.0
2033-07-01,53859.0,77297.0,132595.0
2034-01-01,58635.0,83383.0,141751.0
2034-07-01,63545.0,89602.0,151046.0
2035-01-01,68574.0,95935.0,160456.0
2035-07-01,73685.0,102364.0,169948.0
2036-01-01,78872.0,108860.0,179512.0
2036-07-01,84106.0,115400.0,189125.0
2037-01-01,89354.0,121955.0,198762.0
2037-07-01,94600.0,128508.0,208397.0
2038-01-01,99834.0,135060.0,218007.0
2038-07-01,105025.0,141553.0,227571.0
2039-01-01,110155.0,147989.0,237082.0
2039-07-01,115192.0,154342.0,246514.0
2040-01-01,120140.0,160604.0,255844.0
2040-07-01,124971.0,166751.0,265061.0
2041-01-01,129679.0,172760.0,274146.0
2041-07-01,134249.0,178631.0,283085.0
2042-01-01,138652.0,184356.0,291880.0
2042-07-01,142896.0,189907.0,300508.0
2043-01-01,146965.0,195283.0,308960.0
2043-07-01,150861.0,200496.0,317231.0
2044-01-01,154576.0,205508.0,325331.0
2044-07-01,158109.0,210346.0,333239.0
2045-01-01,161444.0,214998.0,340950.0
2045-07-01,164592.0,219458.0,348488.0
2046-01-01,167549.0,223723.0,355832.0
2046-07-01,170325.0,227811.0,362988.0
2047-01-01,172917.0,231719.0,369963.0
2047-07-01,175342.0,235443.0,376757.0
2048-01-01,177575.0,238993.0,383390.0
2048-07-01,179653.0,242375.0,389845.0
2049-01-01,181556.0,245600.0,396137.0
2049-07-01,183315.0,248657.0,402268.0
2050-01-01,184920.0,251575.0,408256.0
2050-07-01,186386.0,254353.0,414103.0
