Date,Low,Base,High
2025-01-01,13278.463557242309,19852.02367053078,43152.586744393775
2025-07-01,13278.463557242309,22826.993046228818,60805.54132176138
2026-01-01,13278.463557242309,26458.393894499437,79479.695585437
2026-07-01,13278.463557242309,30738.91221564824,99100.52955831167
2027-01-01,13285.363611055052,35639.29201089762,119690.12323360283
2027-07-01,13375.064310620708,41135.76278124076,141196.03662741903
2028-01-01,13922.92858335249,47230.15302660128,163540.98976349912
2028-07-01,14916.536332387457,53900.52074789595,186785.70262319111
2029-01-01,16317.247256374252,61101.153447034776,210850.1352310817
2029-07-01,18131.96140912562,68855.82162302456,235720.48759140994
2030-01-01,20326.17852157784,77109.67027815727,261382.95970841497
2030-07-01,22920.598755169143,85890.12691128695,287790.6315965096
2031-01-01,25857.261657872496,95145.99352455274,314929.7032599329
2031-07-01,29167.907477226505,104879.09861787828,342802.93469783716
2032-01-01,32826.31600874275,115067.50019218035,371352.36592802644
2032-07-01,36820.06715555831,125700.22724791733,400622.1569369357
2033-01-01,41146.400896148065,136777.27978508925,430518.46775339067
2033-07-01,45779.097026023606,148282.2013043837,461038.53837823914
2034-01-01,50726.435609760214,160172.93630755783,492182.36881148117
2034-07-01,55977.37656125751,172478.74079338927,523930.63905905146
2035-01-01,61511.219719077264,185157.55926363525,556247.4691319716
2035-07-01,67327.96508321947,198227.67671753172,589138.379028546
2036-01-01,73364.13215860691,211577.55465973908,622470.8887894698
2036-07-01,79597.64077303877,225179.7655914033,656209.1184257646
2037-01-01,85987.09060363864,238997.73951405237,690223.3479772778
2037-07-01,92510.40147820572,252972.9644301311,724505.2974465529
2038-01-01,99115.13298776315,267087.1553404035,758991.4868530895
2038-07-01,105776.44493858509,281267.1722479255,793565.996232496
2039-01-01,112481.91723380858,295494.73015346105,828220.5455873159
2039-07-01,119174.96943216912,309711.31705945503,862861.2949463748
2040-01-01,125841.80142604125,323894.99096682423,897444.0843232379
2040-07-01,132425.83277416046,337981.7543782426,931866.7937492742
2041-01-01,138936.7235518646,351940.5227950089,966126.6632253318
2041-07-01,145312.373274839,365742.0402183456,1000143.6527759972
2042-01-01,151552.7819430836,379342.4226500862,1033862.5624182267
2042-07-01,157608.26916914672,392738.0130903836,1067247.512163042
2043-01-01,163470.554888453,405855.6715422937,1100229.5020316385
2043-07-01,169127.2190041396,418695.3980058165,1132786.4520307987
2044-01-01,174553.42132248054,431238.907481716,1164910.082163066
2044-07-01,179736.74174661297,443436.83047205507,1196523.1124521792
2045-01-01,184664.7601796739,455301.96647629875,1227617.262900682
2045-07-01,189312.63642793748,466836.1439943708,1258167.6935162044
2046-01-01,193701.0706528419,477989.99352833396,1288179.924297051
2046-07-01,197795.56258532353,488756.2010784938,1317629.1152508524
2047-01-01,201612.67235453284,499154.8801440099,1346509.7463793037
2047-07-01,205126.1797559815,509175.0597253407,1374810.7776857964
2048-01-01,208363.68500492044,518813.08282263903,1402515.6491754174
2048-07-01,211312.76800448672,528070.7779358284,1429690.6008278192
2049-01-01,213978.94879773055,536953.6305646797,1456274.9126616535
2049-07-01,216382.92754609016,545463.4692091165,1482301.7046667468
2050-01-01,218494.34401278946,553625.8928680692,1507815.1368295338
2050-07-01,220357.35854223004,561444.558541385,1532757.249167819
