Date,Low,Base,High
2025-01-01,9622,10857,17403
2025-07-01,9622,12484,25573
2026-01-01,9622,14470,34104
2026-07-01,9622,16811,42998
2027-01-01,9622,19491,52223
2027-07-01,9622,22497,61771
2028-01-01,9622,25830,71649
2028-07-01,9622,29478,81832
2029-01-01,9622,33416,92320
2029-07-01,9622,37657,103099
2030-01-01,9624,42171,114162
2030-07-01,9704,46973,125499
2031-01-01,10061,52035,137115
2031-07-01,10681,57358,148983
2032-01-01,11534,62910,161075
2032-07-01,12597,68671,173380
2033-01-01,13852,74620,185876
2033-07-01,15268,80731,198534
2034-01-01,16830,86998,211338
2034-07-01,18518,93378,224273
2035-01-01,20316,99869,237309
2035-07-01,22185,106451,250425
2036-01-01,24122,113069,263598
2036-07-01,26086,119734,276806
2037-01-01,28061,126417,290030
2037-07-01,30042,133092,303252
2038-01-01,31988,139733,316438
2038-07-01,33882,146336,329584
2039-01-01,35724,152867,342658
2039-07-01,37466,159316,355656
2040-01-01,39120,165667,368545
2040-07-01,40657,171892,381324
2041-01-01,42063,178005,393972
2041-07-01,43330,183974,406484
2042-01-01,44447,189787,418840
2042-07-01,45398,195442,431037
2043-01-01,46190,200918,443070
2043-07-01,46811,206236,454933
2044-01-01,47246,211368,466607
2044-07-01,47504,216327,478108
2045-01-01,47597,221094,489420
2045-07-01,47597,225685,500556
2046-01-01,47597,230107,511514
2046-07-01,47597,234332,522286
2047-01-01,47597,238373,532886
2047-07-01,47597,242246,543307
2048-01-01,47597,245962,553559
2048-07-01,47597,249511,563642
2049-01-01,47597,252882,573570
2049-07-01,47597,256118,583348
2050-01-01,47597,259210,592987
2050-07-01,47597,262145,602463
