Date,Low,Base,High
2025-01,10948.2505557978,11520.1740922947,20017.3237773915
2025-07,10948.2505557978,11928.6909040782,32763.0483050367
2026-01,10948.2505557978,12745.7245276452,42975.9685996242
2026-07,10948.2505557978,13562.7581512122,54986.3628660591
2027-01,10948.2505557978,14298.0884124225,66915.0537701373
2027-07,10948.2505557978,15441.9354854163,78026.7110506485
2028-01,10948.2505557978,16585.7825584101,90445.6221288669
2028-07,10948.2505557978,17729.6296314039,102537.7197576585
2029-01,10948.2505557978,19118.5867914678,113812.7837628831
2029-07,10948.2505557978,20670.9506762451,126476.8049281716
2030-01,10948.2505557978,22059.907836309,139222.5294558168
2030-07,10948.2505557978,23857.3818081564,150415.8900986847
2031-01,10948.2505557978,25736.5591423605,163570.1314381134
2031-07,10948.2505557978,27860.8465636347,175580.5257045483
2032-01,10948.2505557978,30475.3541590491,188571.3603192636
2032-07,10948.2505557978,32517.9382179666,202379.2285575459
2033-01,11029.9539181545,35377.5559004511,214471.3261863375
2033-07,11111.6572805112,37910.3601335088,228769.41459876
2034-01,11275.0640052246,41015.0879030634,243230.9097358959
2034-07,11520.1740922947,44201.5190349747,256221.7443506112
2035-01,11765.2841793648,47878.1703410262,271091.7562995306
2035-07,12092.0976287916,51636.5250094344,285798.3615237366
2036-01,12582.3178029318,55721.6931272694,300014.7465738024
2036-07,13154.2413394287,60460.488143958,315701.7921462888
2037-01,13971.2749629957,65117.579798289895,330980.32090699166
2037-07,14870.0119489194,70183.1882644053,346422.256392408
2038-01,15932.1556595565,75657.3135423042,362926.33558846137
2038-07,17076.0027325503,81458.2522696299,379838.9315962983
2039-01,18546.6632549709,87586.0044463824,396424.7141547084
2039-07,20099.0271397482,94612.4936090586,413909.2336990422
2040-01,22059.907836309,101720.68613409149,432210.786866943
2040-07,24102.4918952265,109400.80219562129,449450.1963242067
2041-01,26390.1860412141,117244.3249818645,468732.1898403879
2041-07,28841.2869119151,126068.2881163881,488831.21698013606
2042-01,31537.497869686198,135219.0647003385,507541.28695982037
2042-07,34642.2256392408,144778.3580960724,528212.2376360655
2043-01,37992.0634958655,154419.354854163,549291.705124094
2043-07,41505.3080772036,164959.0885981773,569635.8423509124
2044-01,45508.7728326819,175989.0425163318,591859.1569119347
2044-07,50084.1611246571,187672.6233333399,614082.4714729572
2045-01,54496.142691918896,199764.72096213148,637286.22638226
2045-07,59806.861245104395,213245.775750987,659672.9476679958
2046-01,65199.2831606466,226154.9070033456,683203.5160267254
2046-07,70755.1118009022,239309.1483427743,707796.2280960921
2047-01,76719.4572529413,252545.0930445597,731408.4998171784
2047-07,82765.5060673371,266434.6646451987,755837.8051618317
2048-01,89465.1817805865,280896.1597823346,781165.8474924087
2048-07,96083.1541314792,294949.138107687,806657.296547699
2049-01,102782.82984472859,309492.3366071796,831004.8985299957
2049-07,109645.9122826914,324198.9418313856,856904.8643970696
2050-01,116590.6980830109,339068.953780305,882559.7201770734
2050-07,123617.18724568709,353857.2623668677,907397.5423335101
