Date,Low,Base,High
2025-01,134,141,245
2025-07,134,146,401
2026-01,134,156,526
2026-07,134,166,673
2027-01,134,175,819
2027-07,134,189,955
2028-01,134,203,1107
2028-07,134,217,1255
2029-01,134,234,1393
2029-07,134,253,1548
2030-01,134,270,1704
2030-07,134,291,1841
2031-01,134,315,2002
2031-07,134,339,2149
2032-01,134,371,2308
2032-07,134,397,2476
2033-01,135,433,2624
2033-07,136,464,2799
2034-01,138,501,2972
2034-07,141,538,3133
2035-01,143,583,3315
2035-07,147,630,3492
2036-01,152,678,3669
2036-07,160,736,3854
2037-01,170,791,4046
2037-07,179,852,4231
2038-01,192,919,4433
2038-07,206,988,4639
2039-01,224,1062,4837
2039-07,243,1147,5053
2040-01,265,1232,5277
2040-07,290,1326,5489
2041-01,318,1424,5726
2041-07,348,1529,5962
2042-01,382,1637,6199
2042-07,418,1754,6448
2043-01,457,1877,6707
2043-07,503,2004,6953
2044-01,552,2141,7231
2044-07,607,2284,7503
2045-01,665,2435,7789
2045-07,728,2599,8064
2046-01,797,2760,8354
2046-07,867,2925,8658
2047-01,946,3093,8952
2047-07,1025,3267,9259
2048-01,1110,3448,9574
2048-07,1198,3634,9896
2049-01,1288,3814,10201
2049-07,1379,4006,10525
2050-01,1475,4198,10853
2050-07,1569,4390,11168
