Date,Low,Base,High
2025-01,1553,1801,1887
2025-07,1568,2180,2764
2026-01,1602,2626,3694
2026-07,1672,3130,4688
2027-01,1785,3707,5754
2027-07,1958,4352,6899
2028-01,2200,5084,8119
2028-07,2518,5902,9421
2029-01,2933,6810,10826
2029-07,3461,7829,12332
2030-01,4092,8951,13945
2030-07,4846,10191,15678
2031-01,5727,11562,17540
2031-07,6743,13072,19542
2032-01,7917,14734,21690
2032-07,9246,16555,24007
2033-01,10756,18551,26491
2033-07,12294,20583,29011
2034-01,13810,22593,31509
2034-07,15255,24524,33937
2035-01,16582,26346,36247
2035-07,17773,28026,38420
2036-01,18799,29546,40430
2036-07,19660,30894,42265
2037-01,20352,32077,43945
2037-07,20899,33110,45464
2038-01,21296,33998,46846
2038-07,21570,34769,48103
2039-01,21734,35417,49250
2039-07,21820,35984,50304
2040-01,21847,36464,51277
2040-07,21854,36884,52178
2041-01,21854,37236,53027
2041-07,21854,37548,53830
2042-01,21854,37814,54584
2042-07,21854,38048,55302
2043-01,21854,38246,56000
2043-07,21854,38424,56667
2044-01,21854,38580,57312
2044-07,21854,38721,57936
2045-01,21854,38841,58557
2045-07,21854,38948,59158
2046-01,21854,39048,59747
2046-07,21854,39142,60326
2047-01,21854,39218,60895
2047-07,21854,39296,61463
2048-01,21854,39358,62019
2048-07,21854,39418,62569
2049-01,21854,39481,63121
2049-07,21854,39535,63664
2050-01,21854,39587,64204
2050-07,21854,39637,64747
